SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,545 Ashbury St #2,San Francisco,CA,94117,849000,1,1.0,San Francisco,,2500,1900,5,,338,Active,,,http://www.redfin.com/CA/San-Francisco/545-Ashbury-St-94117/unit-2/home/114072474,San Francisco MLS,421523837,N,Y,37.7702626,-122.4472325
MLS Listing,,Single Family Residential,506 Mississippi St,San Francisco,CA,94107,1798000,3,2.0,San Francisco,1665,,,5,1080,,Active,,,http://www.redfin.com/CA/San-Francisco/506-Mississippi-St-94107/home/1613525,San Francisco MLS,421523740,N,Y,37.759946,-122.3945489
MLS Listing,,Single Family Residential,336 Bradford St,San Francisco,CA,94110,1190000,3,2.0,San Francisco,1450,1572,1927,15,821,,Active,,,http://www.redfin.com/CA/San-Francisco/336-Bradford-St-94110/home/966133,San Francisco MLS,421521361,N,Y,37.7375892,-122.40986
MLS Listing,,Condo/Co-op,5800 3Rd St #1211,San Francisco,CA,94124,680000,1,1.0,Portola District,817,,2010,15,832,432,Active,,,http://www.redfin.com/CA/San-Francisco/5800-3rd-St-94124/unit-1211/home/40625857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40938478,N,Y,37.7250528,-122.3951255
MLS Listing,,Condo/Co-op,855 Folsom St #510,San Francisco,CA,94107,975000,1,1.5,San Francisco,1030,55687,2001,18,947,635,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-510/home/12398153,San Francisco MLS,421520348,N,Y,37.7807672,-122.4021418
MLS Listing,,Condo/Co-op,45 Western Shore Ln #4,San Francisco,CA,94115,599000,2,1.0,San Francisco,840,,1963,50,713,764,Active,,,http://www.redfin.com/CA/San-Francisco/45-Western-Shore-Ln-94115/unit-4/home/12401212,San Francisco MLS,512296,N,Y,37.7839552,-122.4286985
MLS Listing,,Condo/Co-op,1635 California St #24,San Francisco,CA,94109,899000,2,2.0,San Francisco,915,,2005,50,983,639,Active,,,http://www.redfin.com/CA/San-Francisco/1635-California-St-94109/unit-24/home/12277015,San Francisco MLS,511753,N,Y,37.7901833,-122.4213456
MLS Listing,,Condo/Co-op,1875 Mission St #406,San Francisco,CA,94103,839000,2,1.0,San Francisco,631,,2014,58,1330,647,Active,,,http://www.redfin.com/CA/San-Francisco/1875-Mission-St-94103/unit-406/home/109315389,San Francisco MLS,511833,N,Y,37.7671013,-122.4194461
MLS Listing,,Condo/Co-op,757 North Point St #4,San Francisco,CA,94109,1198000,2,2.0,San Francisco,1190,,1989,82,1007,700,Active,,,http://www.redfin.com/CA/San-Francisco/757-N-Point-St-94109/unit-4/home/1816724,San Francisco MLS,511091,N,Y,37.8055317,-122.4196058
MLS Listing,,Condo/Co-op,1370 Hayes St #1372,San Francisco,CA,94117,1450000,4,2.5,San Francisco,1706,,1900,165,850,286,Active,,,http://www.redfin.com/CA/San-Francisco/1370-Hayes-St-94117/unit-1372/home/148065731,San Francisco MLS,506674,N,Y,37.775124,-122.439022
